DepartmentOrSubdivision,Position,MinPositionSalary,MaxPositionSalary,TotalWages,DefinedBenefitPlanContribution,HealthDentalVision,TotalRetirementAndHealthContribution
Library,Library Technician,49633,60329,7272,0,0,91
Library,Library Technician,49633,60329,4476,0,0,58
Library,Library Technician,49633,60329,4108,0,0,53
Library,Library Technician,49633,60329,4186,0,0,54
Library,Library Technician,49633,60329,8054,0,0,105
Library,Library Technician,49633,60329,1117,0,0,15
Library,Library Technician Unclass,49633,60329,1277,153,0,153
Library,Network Analyst,79468,96593,9669,1113,0,1113
Library,Page,29120,29120,3986,0,0,42
Library,Page,29120,29120,4834,0,0,62
Library,Page,29120,29120,8544,0,0,104
Library,Page,29120,29120,3204,347,0,347
Library,Page,29120,29120,619,0,0,8
Library,Page,29120,29120,2927,0,0,36
Library,Page,29120,29120,3110,0,0,39
Library,Page,29120,29120,2867,0,0,37
Library,Page,29120,29120,3227,0,0,41
Library,Page,29120,29120,2542,0,0,33
Library,Page,29120,29120,4306,0,0,56
Library,Senior Librarian,79035,96067,42512,2401,0,2401
Library,Senior Librarian,79035,96067,71404,8317,14545,22862
Library,Senior Librarian,79035,96067,111802,12472,13307,25779
Library,Senior Library Technician,54295,65996,69988,5035,1033,6068
Library,Senior Library Technician,54295,65996,2521,255,522,777
Library,Senior Library Technician,54295,65996,68040,5152,12189,17341
Library,Senior Library Technician,54295,65996,46186,5385,11927,17312
Library,Senior Library Technician,54295,65996,60069,6906,15036,21942
Library,Senior Library Technician,54295,65996,57734,6875,12523,19398
Mayor & City Council,Admin Asst To Mayor Council,66070,70088,77107,5838,12417,18255
Mayor & City Council,Councilmember,49168,49168,4379,427,810,1237
Mayor & City Council,Councilmember,49168,49168,57047,5658,2783,8441
Mayor & City Council,Councilmember,49168,49168,57047,5658,12339,17997
Mayor & City Council,Councilmember,168064,168064,57047,5658,21454,27112
Mayor & City Council,Councilmember,49168,49168,4379,283,1734,2017
Mayor & City Council,Councilmember,49168,49168,57047,5658,21547,27205
Mayor & City Council,Councilmember,49168,49168,53460,3402,8175,11577
Mayor & City Council,Councilmember,49168,49168,53460,5250,0,5250
Mayor & City Council,Mayor,61460,61460,72769,4591,13160,17751
Parks & Recreation,Administrative Analyst II,87890,106832,73920,5369,5547,10916
Parks & Recreation,Administrative Assistant,62924,76484,78852,5970,12189,18159
Parks & Recreation,Administrative Assistant-Conf,62924,76484,70033,8185,12867,21052
Parks & Recreation,Administrative Specialist,47118,57271,60773,4601,12537,17138
Parks & Recreation,Administrative Specialist,47118,57271,59113,4470,11882,16352
Parks & Recreation,Administrative Specialist,47118,57271,15950,684,2555,3239
Parks & Recreation,Administrative Specialist,47118,57271,45713,3459,12189,15648
Parks & Recreation,Administrative Specialist,47118,57271,60774,7083,12523,19606
Parks & Recreation,Administrative Specialist,47118,57271,10765,737,2929,3666
Parks & Recreation,Administrative Specialist,47118,57271,56005,6511,15036,21547
Parks & Recreation,Adult Sports Official II,43909,43909,891,0,0,12
Parks & Recreation,Adult Sports Official II,43909,43909,228,26,0,26
Parks & Recreation,Assistant Parks Recreation Dir,134352,163305,23053,1401,0,1401
Parks & Recreation,Associate Planner,77975,94780,83642,9178,0,9178
Parks & Recreation,Associate Planner,77975,94780,81752,5926,481,6407
Parks & Recreation,Associate Planner,77975,94780,2502,115,601,716
Parks & Recreation,Associate Planner,77975,94780,20232,2419,2406,4825
Parks & Recreation,Automotive Equipment Tech,58974,71683,69545,8105,8800,16905
Parks & Recreation,Beach Lifeguard III,31304,31304,5593,0,0,71
Parks & Recreation,Beach Lifeguard III,31304,31304,1972,0,0,26
Parks & Recreation,Beach Lifeguard III,31304,31304,8285,0,0,105
Parks & Recreation,Beach Lifeguard III,31304,31304,3077,0,0,40
Parks & Recreation,Beach Lifeguard III,31304,31304,120,0,0,2
Parks & Recreation,Beach Lifeguard III,31304,31304,8015,0,0,102
Parks & Recreation,Beach Lifeguard III,31304,31304,2032,0,0,26
Parks & Recreation,Beach Lifeguard IV,32344,32344,26,0,0,0
Parks & Recreation,Beach Lifeguard IV,32344,32344,5902,0,0,77
Parks & Recreation,Beach Lifeguard IV,32344,32344,4302,0,0,55
Parks & Recreation,Beach Lifeguard IV,32344,32344,249,0,0,3
Parks & Recreation,Beach Lifeguard IV,32344,32344,1461,0,0,19
Parks & Recreation,Beach Lifeguard IV,32344,32344,2088,0,0,26
Parks & Recreation,Beach Lifeguard Vi,34445,34445,16518,0,0,212
Parks & Recreation,Bus Driver I,37606,37606,5605,0,0,72
Parks & Recreation,Bus Driver I,37606,37606,2016,0,0,26
Parks & Recreation,Bus Driver IV,43909,43909,12835,0,0,154
Parks & Recreation,Bus Driver IV,43909,43909,1942,0,0,25
Parks & Recreation,Bus Driver IV,43909,43909,1161,0,0,15
Parks & Recreation,Bus Driver IV,43909,43909,464,0,0,6
Parks & Recreation,Bus Driver IV,43909,43909,63,0,0,1
Parks & Recreation,Bus Driver IV,43909,43909,1672,123,0,123
Parks & Recreation,Clerical Assistant,29120,29120,2989,0,0,38
Parks & Recreation,Clerical Assistant V,29203,29203,1192,0,0,14
Parks & Recreation,Code Enforcement Officer,64513,78415,73707,8569,15036,23605
Parks & Recreation,Creeks Outreach Coordinator,68152,82838,84706,6414,15031,21445
Parks & Recreation,Creeks Restoration Cln Water Manager,113963,138523,143922,10891,20879,31770
Parks & Recreation,Creeks Supervisor,99919,121452,129160,9411,12240,21651
Parks & Recreation,Custodian,42011,51064,55282,4188,15036,19224
Parks & Recreation,Equipment Operator,49403,60050,15268,0,0,191
Parks & Recreation,Equipment Operator,49403,60050,34806,3768,5273,9041
Parks & Recreation,Equipment Operator,49403,60050,65955,7215,760,7975
Parks & Recreation,Equipment Operator,49403,60050,61909,4708,12346,17054
Parks & Recreation,Equipment Operator,49403,60050,6631,0,0,82
Parks & Recreation,Equipment Operator,49403,60050,36982,1961,2912,4873
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,666,0,0,1
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,1036,0,0,12
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,40533,4683,10200,14883
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,145,0,0,0
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,12987,0,0,169
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,1683,0,0,22
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,4003,0,0,50
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,12523,0,0,162
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,2642,0,0,30
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,1639,0,0,20
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,94,0,0,0
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,1521,0,0,17
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,159,0,0,2
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,5126,0,0,65
Parks & Recreation,Grounds Maintenance Asst I,29120,29120,120,0,0,2
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,2370,0,0,31
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,14288,0,0,179
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,8088,466,0,466
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,8991,0,0,114
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,1760,0,0,23
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,8953,0,0,113
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,23347,1690,0,1690
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,7668,0,0,98
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,9122,0,0,114
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,7892,942,0,942
Parks & Recreation,Grounds Maintenance Asst II,30243,30243,1876,0,0,24
Parks & Recreation,Grounds Maintenance Crew Leader,55685,67686,70190,5282,14545,19827
Parks & Recreation,Grounds Maintenance Crew Leader,55685,67686,70295,5283,10087,15370
Parks & Recreation,Grounds Maintenance Crew Leader,55685,67686,73445,5301,670,5971
Parks & Recreation,Grounds Maintenance Worker I,44049,53542,35639,2705,12664,15369
Parks & Recreation,Grounds Maintenance Worker I,44049,53542,14316,0,0,180
Parks & Recreation,Grounds Maintenance Worker I,44049,53542,55606,4179,8804,12983
Parks & Recreation,Grounds Maintenance Worker I,44049,53542,37069,4238,0,4238
Parks & Recreation,Grounds Maintenance Worker II,49403,60050,52928,6084,10073,16157
Parks & Recreation,Grounds Maintenance Worker II,49403,60050,53032,6127,6619,12746
Parks & Recreation,Grounds Maintenance Worker II,49403,60050,65760,4708,1161,5869
Parks & Recreation,Grounds Maintenance Worker II,49403,60050,61909,4708,12590,17298
Parks & Recreation,Grounds Maintenance Worker II,49403,60050,38104,3724,10584,14308
Parks & Recreation,Grounds Maintenance Worker II,49403,60050,56737,4275,15007,19282
Parks & Recreation,Grounds Maintenance Worker II,49403,60050,61571,7130,12156,19286
Parks & Recreation,Grounds Maintenance Worker II,49403,60050,62674,4708,12189,16897
Parks & Recreation,Head Beach Lifeguard I,35506,35506,16296,0,0,209
Parks & Recreation,Head Beach Lifeguard I,35506,35506,96,0,0,1
Parks & Recreation,Head Beach Lifeguard II,37606,37606,12327,0,0,155
Parks & Recreation,Head Beach Lifeguard II,37606,37606,9433,0,0,121
Parks & Recreation,Head Beach Lifeguard III,39707,39707,13550,0,0,173
Parks & Recreation,Head Beach Lifeguard III,39707,39707,25442,0,0,328
Parks & Recreation,Head Beach Lifeguard III,39707,39707,19276,0,0,248
Parks & Recreation,Head Beach Lifeguard IV,41808,41808,6472,0,0,84
Parks & Recreation,Head Beach Lifeguard V,43909,43909,18455,0,0,237
Parks & Recreation,Head Beach Lifeguard V,43909,43909,16650,0,0,210
Parks & Recreation,Indoor Facilities Monitor,29120,29120,1766,0,0,23
Parks & Recreation,Indoor Facilities Monitor,29120,29120,236,0,0,3
Parks & Recreation,Indoor Facilities Monitor,29120,29120,756,0,0,10
Parks & Recreation,Indoor Facilities Monitor,29120,29120,711,0,0,9
Parks & Recreation,Indoor Facilities Monitor,29120,29120,1962,0,0,22
Parks & Recreation,Indoor Facilities Monitor,29120,29120,887,0,0,12
Parks & Recreation,Indoor Facilities Monitor,29120,29120,3502,226,0,226
Parks & Recreation,Indoor Facilities Monitor,29120,29120,1297,0,0,14
Parks & Recreation,Indoor Facilities Monitor,29120,29120,10928,0,0,139
Parks & Recreation,Indoor Facilities Monitor,29120,29120,1097,0,0,14
Parks & Recreation,Indoor Facilities Monitor,29120,29120,80,0,0,1
Parks & Recreation,Irrigation Systems Technician,55964,68025,74660,5330,0,5330
Parks & Recreation,Irrigation Systems Technician,55964,68025,70131,5330,12189,17519
Parks & Recreation,Job Apprentice I,29120,29120,2292,0,0,29
Parks & Recreation,Job Apprentice I,29120,29120,111,0,0,1
Parks & Recreation,Job Apprentice I,29120,29120,366,0,0,3
Parks & Recreation,Job Apprentice I,29120,29120,182,0,0,2
Parks & Recreation,Job Apprentice I,29120,29120,52,0,0,1
Parks & Recreation,Job Apprentice I,29120,29120,393,0,0,5
Parks & Recreation,Job Apprentice I,29120,29120,2881,0,0,34
Parks & Recreation,Job Apprentice I,29120,29120,529,0,0,7
Parks & Recreation,Job Apprentice I,29120,29120,267,0,0,3
Parks & Recreation,Job Apprentice I,29120,29120,2073,0,0,27
Parks & Recreation,Job Apprentice I,29120,29120,36,0,0,0
Parks & Recreation,Job Apprentice I,29120,29120,651,0,0,8
Parks & Recreation,Jr Lifeguard Instructor I,29203,29203,5899,0,0,75
Parks & Recreation,Jr Lifeguard Instructor I,29203,29203,5312,0,0,68
Parks & Recreation,Jr Lifeguard Instructor III,31304,31304,8660,0,0,110
Parks & Recreation,Jr Lifeguard Instructor III,31304,31304,5718,0,0,73
Parks & Recreation,Jr Lifeguard Instructor III,31304,31304,5367,0,0,68
Parks & Recreation,Jr Lifeguard Instructor III,31304,31304,5754,0,0,74
Parks & Recreation,Jr Lifeguard Instructor III,31304,31304,6147,0,0,79
Parks & Recreation,Jr Lifeguard Instructor V,33405,33405,6494,0,0,83
Parks & Recreation,Jr Lifeguard Instructor V,33405,33405,5061,0,0,65
Parks & Recreation,Jr Lifeguard Instructor V,33405,33405,5784,0,0,74
Parks & Recreation,Jr Lifeguard Program Dir I,35506,35506,10412,0,0,134
Parks & Recreation,Jr Lifeguard Program Dir III,39707,39707,6667,0,0,85
Parks & Recreation,Jr Lifeguard Program Dir III,39707,39707,7239,0,0,93
Parks & Recreation,Jr Lifeguard Program Dir IV,41808,41808,15165,0,0,195
Parks & Recreation,Jr Lifeguard Program Dir V,43909,43909,12233,0,0,156
Parks & Recreation,Jr Lifeguard Program Dir V,43909,43909,12837,0,0,164
Parks & Recreation,Jr Lifeguard Program Dir V,43909,43909,3837,0,0,50
Parks & Recreation,Jr Lifeguard Program Dir V,43909,43909,3837,0,0,50
Parks & Recreation,Lead Park Ranger,60044,72985,80837,8889,12428,21317
Parks & Recreation,Marketing Coordinator,73445,89274,92102,10727,12021,22748
Parks & Recreation,Neighborhood Outreach Services Coordinator II,65160,79202,86750,6313,1161,7474
Parks & Recreation,Office Specialist I,38983,47383,9384,0,0,122
Parks & Recreation,Office Specialist I,38983,47383,12697,0,0,156
Parks & Recreation,Office Specialist I,38983,47383,10093,0,0,129
Parks & Recreation,Office Specialist I,38983,47383,73,0,0,1
Parks & Recreation,Office Specialist II,42858,52093,59836,4197,128,4325
Parks & Recreation,Office Specialist II,42858,52093,10833,728,0,728
Parks & Recreation,Office Specialist II,42858,52093,48443,5624,12570,18194
Parks & Recreation,Outdoor Facility Monitor,29120,29120,154,0,0,2
Parks & Recreation,Outdoor Facility Monitor,29120,29120,4799,0,0,62
Parks & Recreation,Outdoor Facility Monitor,29120,29120,15518,0,0,194
Parks & Recreation,Outdoor Facility Monitor V,29203,29203,2688,0,0,33
Parks & Recreation,Outdoor Facility Monitor V,29203,29203,1909,0,0,25
Parks & Recreation,Park Project Technician,59269,72041,74851,5623,15036,20659
Parks & Recreation,Park Ranger,54586,66349,65561,7164,1066,8230
Parks & Recreation,Park Ranger,54586,66349,65520,4961,13086,18047
Parks & Recreation,Park Ranger,54586,66349,34361,3574,5650,9224
Parks & Recreation,Parks Capital Project Supervisor,96157,116880,106599,8056,15398,23454
Parks & Recreation,Parks Capital Project Supervisor,96157,116880,21244,971,1517,2488
Parks & Recreation,Parks Manager,105302,127995,114178,8640,20879,29519
Parks & Recreation,Parks Recreation Business Manager,109475,133067,139091,13774,0,13774
Parks & Recreation,Parks Recreation Director,161225,195971,220571,15408,11864,27272
Parks & Recreation,Parks Superintendent,83871,101946,139519,8082,0,8082
Parks & Recreation,Parks Supervisor,72616,88265,107652,6980,1364,8344
Parks & Recreation,Parks Supervisor,72616,88265,92185,6979,16826,23805
Parks & Recreation,Parks Supervisor,72616,88265,106765,10740,2593,13333
Parks & Recreation,Pool Lifeguard,29120,29120,465,0,0,6
Parks & Recreation,Pool Lifeguard,29120,29120,2202,0,0,29
Parks & Recreation,Pool Lifeguard,29120,29120,1894,0,0,25
Parks & Recreation,Pool Technician,52845,64233,43983,3312,10172,13484
Parks & Recreation,Project Planner,83614,101634,104781,7933,11946,19879
Parks & Recreation,Project Planner,83614,101634,108000,12049,0,12049
Parks & Recreation,Recreation Assistant,29120,29120,130,0,0,2
Parks & Recreation,Recreation Assistant,29120,29120,26,0,0,0
Parks & Recreation,Recreation Assistant,29120,29120,2983,0,0,33
Parks & Recreation,Recreation Assistant,29120,29120,1840,0,0,24
Parks & Recreation,Recreation Assistant,29120,29120,1838,0,0,24
Parks & Recreation,Recreation Coordinator,56950,69223,62798,7323,13077,20400
Parks & Recreation,Recreation Coordinator,56950,69223,71235,5393,12156,17549
Parks & Recreation,Recreation Coordinator,56950,69223,39659,3131,0,3131
Parks & Recreation,Recreation Coordinator,56950,69223,64231,7350,14545,21895
Parks & Recreation,Recreation Coordinator,56950,69223,61912,7195,12867,20062
Parks & Recreation,Recreation Coordinator,56950,69223,58238,6796,11636,18432
Parks & Recreation,Recreation Equipment Tech,29120,29120,3078,0,0,38
Parks & Recreation,Recreation Equipment Tech,29120,29120,2451,0,0,31
Parks & Recreation,Recreation Equipment Tech,29120,29120,1732,0,0,22
Parks & Recreation,Recreation Equipment Tech,29120,29120,893,0,0,12
Parks & Recreation,Recreation Leader,29120,29120,80,0,0,0
Parks & Recreation,Recreation Leader,29120,29120,847,0,0,8
Parks & Recreation,Recreation Leader,29120,29120,4098,0,0,42
Parks & Recreation,Recreation Leader,29120,29120,4673,0,0,59
Parks & Recreation,Recreation Leader III,27102,27102,49,0,0,1
Parks & Recreation,Recreation Leader III,27102,27102,2235,0,0,29
Parks & Recreation,Recreation Leader III,27102,27102,1681,0,0,22
Parks & Recreation,Recreation Leader IV,28142,28142,68,0,0,0
Parks & Recreation,Recreation Leader IV,28142,28142,2887,0,0,34
Parks & Recreation,Recreation Leader IV,28142,28142,2200,0,0,27
Parks & Recreation,Recreation Leader IV,28142,28142,907,0,0,9
Parks & Recreation,Recreation Leader IV,28142,28142,3745,0,0,46
Parks & Recreation,Recreation Leader IV,28142,28142,4710,0,0,58
Parks & Recreation,Recreation Leader IV,28142,28142,1881,0,0,21
Parks & Recreation,Recreation Leader IV,28142,28142,660,0,0,9
Parks & Recreation,Recreation Leader IV,28142,28142,44,0,0,1
Parks & Recreation,Recreation Leader IV,28142,28142,2784,0,0,36
Parks & Recreation,Recreation Leader IV,28142,28142,551,0,0,7
Parks & Recreation,Recreation Leader V,29203,29203,324,0,0,0
Parks & Recreation,Recreation Leader V,29203,29203,7055,0,0,89
Parks & Recreation,Recreation Leader V,29203,29203,1060,0,0,14
Parks & Recreation,Recreation Leader V,29203,29203,4824,0,0,58
Parks & Recreation,Recreation Leader V,29203,29203,3161,0,0,40
Parks & Recreation,Recreation Leader V,29203,29203,1386,0,0,18
Parks & Recreation,Recreation Program Coordinator I,29203,29203,2313,0,0,30
Parks & Recreation,Recreation Program Coordinator II,31304,31304,4656,537,0,537
Parks & Recreation,Recreation Program Coordinator II,31304,31304,2840,0,0,36
Parks & Recreation,Recreation Program Coordinator II,31304,31304,3399,0,0,38
Parks & Recreation,Recreation Program Coordinator II,31304,31304,9573,0,0,123
Parks & Recreation,Recreation Program Coordinator II,31304,31304,7828,0,0,100
Parks & Recreation,Recreation Program Coordinator II,31304,31304,3183,0,0,41
Parks & Recreation,Recreation Program Coordinator II,31304,31304,2246,0,0,29
Parks & Recreation,Recreation Program Coordinator III,33405,33405,83,0,0,0
Parks & Recreation,Recreation Program Coordinator III,33405,33405,506,0,0,7
Parks & Recreation,Recreation Program Coordinator III,33405,33405,7308,600,0,600
Parks & Recreation,Recreation Program Coordinator III,33405,33405,771,0,0,0
Parks & Recreation,Recreation Program Coordinator III,33405,33405,32,0,0,0
Parks & Recreation,Recreation Program Coordinator III,33405,33405,6434,741,0,741
Parks & Recreation,Recreation Program Coordinator III,33405,33405,3638,0,0,47
Parks & Recreation,Recreation Program Coordinator IV,35506,35506,3470,0,0,43
Parks & Recreation,Recreation Program Coordinator IV,35506,35506,4026,0,0,52
Parks & Recreation,Recreation Program Coordinator IV,35506,35506,1612,0,0,16
Parks & Recreation,Recreation Program Coordinator IV,35506,35506,43,0,0,1
Parks & Recreation,Recreation Program Coordinator IV,35506,35506,186,0,0,0
Parks & Recreation,Recreation Program Coordinator IV,35506,35506,2564,257,0,257
Parks & Recreation,Recreation Program Coordinator IV,35506,35506,4123,0,0,51
Parks & Recreation,Recreation Program Coordinator IV,35506,35506,43,0,0,1
Parks & Recreation,Recreation Program Coordinator V,37606,37606,117,0,0,0
Parks & Recreation,Recreation Program Coordinator V,37606,37606,88,0,0,0
Parks & Recreation,Recreation Program Dir III,33405,33405,2,0,0,0
Parks & Recreation,Recreation Program Dir III,33405,33405,8882,714,0,714
Parks & Recreation,Recreation Program Dir III,33405,33405,9922,0,0,115
Parks & Recreation,Recreation Program Dir III,33405,33405,8789,0,0,105
Parks & Recreation,Recreation Program Dir III,33405,33405,2426,0,0,32
Parks & Recreation,Recreation Program Dir IV,35506,35506,6984,0,0,89
Parks & Recreation,Recreation Program Dir IV,35506,35506,1101,0,0,14
Parks & Recreation,Recreation Program Dir IV,35506,35506,34,0,0,0
Parks & Recreation,Recreation Program Dir IV,35506,35506,163,0,0,1
Parks & Recreation,Recreation Program Dir IV,35506,35506,2597,287,0,287
Parks & Recreation,Recreation Program Dir IV,35506,35506,2940,0,0,37
Parks & Recreation,Recreation Program Dir V,37606,37606,9529,0,0,122
Parks & Recreation,Recreation Program Dir V,37606,37606,2570,0,0,32
Parks & Recreation,Recreation Program Dir V,37606,37606,3007,219,0,219
Parks & Recreation,Recreation Program Dir V,37606,37606,2369,0,0,29
Parks & Recreation,Recreation Program Dir V,37606,37606,5112,542,0,542
Parks & Recreation,Recreation Program Dir V,37606,37606,3772,0,0,43
Parks & Recreation,Recreation Program Dir V,37606,37606,237,0,0,2
Parks & Recreation,Recreation Program Leader,41387,50306,5100,0,0,61
Parks & Recreation,Recreation Program Leader,41387,50306,8132,0,0,103
Parks & Recreation,Recreation Programs Manager,105302,127995,134308,10064,19560,29624
Parks & Recreation,Recreation Specialist,47118,57271,54953,6397,13074,19471
Parks & Recreation,Recreation Specialist,47118,57271,20322,0,0,254
Parks & Recreation,Recreation Specialist,47118,57271,17183,733,0,733
Parks & Recreation,Recreation Supervisor I,74333,90352,92392,6152,6569,12721
Parks & Recreation,Recreation Supervisor I,74333,90352,105226,7145,6623,13768
Parks & Recreation,Recreation Supervisor I,74333,90352,111453,10995,0,10995
Parks & Recreation,Recreation Supervisor I,74333,90352,62883,7402,12240,19642
Parks & Recreation,Recreation Therapist Nurse I,43909,43909,1314,0,0,17
Parks & Recreation,Senior Grounds Maintenance Worker,51414,62495,61794,7187,12097,19284
Parks & Recreation,Senior Grounds Maintenance Worker,51414,62495,57792,4778,12230,17008
Parks & Recreation,Senior Grounds Maintenance Worker,51414,62495,63725,4845,12230,17075
Parks & Recreation,Senior Grounds Maintenance Worker,51414,62495,64562,4864,15036,19900
Parks & Recreation,Senior Grounds Maintenance Worker,51414,62495,64429,4899,15036,19935
Parks & Recreation,Senior Grounds Maintenance Worker,51414,62495,68697,4899,1716,6615
Parks & Recreation,Senior Maintenance Worker,52845,64233,69480,7547,0,7547
Parks & Recreation,Senior Pool Lifeguard III,31304,31304,4345,0,0,56
Parks & Recreation,Senior Pool Lifeguard III,31304,31304,3033,0,0,39
Parks & Recreation,Senior Pool Lifeguard III,31304,31304,2621,0,0,33
Parks & Recreation,Senior Pool Lifeguard III,31304,31304,1065,0,0,14
Parks & Recreation,Senior Pool Lifeguard III,31304,31304,10375,0,0,134
Parks & Recreation,Senior Pool Lifeguard III,31304,31304,591,0,0,8
Parks & Recreation,Senior Pool Lifeguard III,31304,31304,13171,0,0,170
Parks & Recreation,Senior Pool Lifeguard III,31304,31304,15032,0,0,194
Parks & Recreation,Senior Recreation Supervisor,86330,104935,112824,8277,13374,21651
Parks & Recreation,Senior Recreation Supervisor,86330,104935,125178,8298,1364,9662
Parks & Recreation,Senior Tree Trimmer,56667,68879,72968,5397,12490,17887
Parks & Recreation,Senior Tree Trimmer,56667,68879,62428,7086,12471,19557
Parks & Recreation,Sports Coach I,29203,29203,1299,0,0,17
Parks & Recreation,Sports Coach I,29203,29203,112,13,0,13
Parks & Recreation,Sports Coach I,29203,29203,167,0,0,0
Parks & Recreation,Sports Coach I,29203,29203,7140,0,0,90
Parks & Recreation,Sports Coach I,29203,29203,1039,0,0,14
Parks & Recreation,Sports Coach I,29203,29203,253,0,0,3
Parks & Recreation,Sports Coach I,29203,29203,1376,156,0,156
Parks & Recreation,Sports Coach I,29203,29203,289,0,0,4
Parks & Recreation,Sports Coach III,33405,33405,1799,136,0,136
Parks & Recreation,Sports Official I,29203,29203,3631,0,0,47
Parks & Recreation,Sports Official I,29203,29203,90,0,0,1
Parks & Recreation,Sports Official I,29203,29203,811,0,0,11
Parks & Recreation,Sports Official I,29203,29203,281,0,0,4
Parks & Recreation,Sports Official I,29203,29203,1608,0,0,21
Parks & Recreation,Sports Official I,29203,29203,393,0,0,5
Parks & Recreation,Sports Official I,29203,29203,112,0,0,1
Parks & Recreation,Sports Official I,29203,29203,534,0,0,7
Parks & Recreation,Sports Official I,29203,29203,337,0,0,4
Parks & Recreation,Sports Official V,37606,37606,44,0,0,1
Parks & Recreation,Sports Official V,37606,37606,1013,0,0,13
Parks & Recreation,Sports Official V,37606,37606,540,0,0,7
Parks & Recreation,Sports Official V,37606,37606,749,0,0,10
Parks & Recreation,Street Tree Supervisor,72616,88265,78721,8753,12471,21224
Parks & Recreation,Swim Instructor III,29203,29203,179,0,0,2
Parks & Recreation,Swim Instructor III,29203,29203,604,0,0,8
Parks & Recreation,Swim Instructor III,29203,29203,6365,0,0,81
Parks & Recreation,Tree Care Specialist,51032,62030,65866,4862,15036,19898
Parks & Recreation,Tree Trimmer II,50525,61414,56323,6244,12017,18261
Parks & Recreation,Urban Forest Superintendent,92350,112252,114372,7377,0,7377
Parks & Recreation,Water Quality Research Analyst,87890,106832,78526,5761,762,6523
Parks & Recreation,Zpool Lifeguard IV,28142,28142,196,0,0,3
Parks & Recreation,Zpool Lifeguard IV,28142,28142,372,0,0,5
Parks & Recreation,Zpool Lifeguard IV,28142,28142,352,0,0,5
Parks & Recreation,Zpool Lifeguard IV,28142,28142,179,0,0,2
Public Safety - Fire,Emergency Services Manager,98970,120298,126057,9458,19818,29276
Public Safety - Fire,Fire Inspector II,89815,109171,170342,26559,15418,41977
Public Safety - Fire,Fire Public Education Coordinator,68152,82838,89072,9533,1203,10736
Public Safety - Fire,Fire Services Specialist,62924,76484,78780,5965,13110,19075
Public Safety - Police,Administrative Assistant-Conf,62924,76484,73377,5557,10073,15630
Public Safety - Police,Administrative Specialist,47118,57271,6499,0,0,77
Public Safety - Police,Administrative Specialist,47118,57271,51125,5897,13077,18974
Public Safety - Police,Administrative Specialist,47118,57271,63574,4470,0,4470
Public Safety - Police,Administrative Specialist,47118,57271,64912,4470,1033,5503
Public Safety - Police,Administrative Specialist,47118,57271,17459,1795,4390,6185
Public Safety - Police,Administrative Specialist,47118,57271,6049,635,0,635
Public Safety - Police,Animal Control Officer,53335,64829,80114,7241,12189,19430
Public Safety - Police,Animal Control Officer,53335,64829,85580,7790,13077,20867
Public Safety - Police,Animal Control Officer II,58930,71629,97053,5612,15036,20648
Public Safety - Police,Emergency Med Disp Auditor,105664,105664,6535,0,0,83
Public Safety - Police,Emergency Medical Dispatcher,75483,75483,3701,181,0,181
Public Safety - Police,Identification Technician,76658,93178,105408,11225,1406,12631
Public Safety - Police,Network Administrator,96050,116750,168674,9113,15036,24149
Public Safety - Police,Office Specialist II,42858,52093,6464,0,0,75
Public Safety - Police,Office Specialist II,42858,52093,5533,0,0,60
Public Safety - Police,Office Specialist II,42858,52093,1206,137,0,137
Public Safety - Police,Office Specialist II,42858,52093,53706,4066,12490,16556
Public Safety - Police,Office Specialist II,42858,52093,5658,0,0,62
Public Safety - Police,Parking Enforcement Officer,50925,61900,65901,7574,17368,24942
Public Safety - Police,Parking Enforcement Officer,50925,61900,62332,6961,12071,19032
Public Safety - Police,Parking Enforcement Officer,50925,61900,55795,6269,0,6269
Public Safety - Police,Parking Enforcement Officer,50925,61900,60810,6935,9647,16582
Public Safety - Police,Parking Enforcement Officer,50925,61900,70275,5094,17567,22661
Public Safety - Police,Parking Enforcement Officer,50925,61900,67144,4990,18469,23459
Public Safety - Police,Parking Enforcement Officer,50925,61900,64544,4942,17481,22423
Public Safety - Police,Parking Enforcement Officer,50925,61900,70610,4990,12239,17229
